url,title,location,description,qualifications,working_condition
https://job-boards.greenhouse.io/paypay/jobs/5725803004,営業支援担当（営業管理・統制推進）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5504319004,営業支援担当（数値分析・運用推進）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5677616004,営業企画（戦略立案/企画推進担当）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/4919371004,Cloud Platform Engineer (DB Specialist),Hybrid,"We are working to provide the best financial services to users in Japan. We empower PayPay product by realizing efficient, stable and optimized storage services. PayPay is looking for Cloud Platform Engineers who specialize in databases at scale on mission critical systems.
Main Responsibilities
Database operations, including monitoring, configuration management, upgrade, scaling, backup, and data migration. Iterate on database operations to improve quality and efficiency Troubleshoot stability and performance problems Contribute to documentation for communicating knowledge, experience and for effective decision-making Research and test new tools in database ecosystems, and adopt them in PayPay Group.","More than 5 years of DBA experience with a minimum of 3 years MySQL or PostgreSQL experience. More than 3 years of AWS experience in recent years Hands-on experience with Infra as Code (IaC - terraform) Interested in new technologies and willing to improve operational quality and efficiency Familiar with shell and programming language for scripting(Python, Go,...)",
https://job-boards.greenhouse.io/paypay/jobs/5741219004,生成AI×データ分析推進リード（営業戦略）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/4089245004,エンタープライズ営業担当,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5477375004,パートナー営業担当,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5683465004,CSシステム企画（業務変革推進担当/ボイス・テキスト担当）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5681496004,CS業務企画（業務変革推進担当）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5704642004,システム基盤構築・自動化推進担当（AI活用推進）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5704640004,業務変革・プロジェクト推進担当（AI活用推進）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5698854004,データ戦略推進企画担当,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5214187004,セキュリティアーキテクト,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5501932004,セキュリティエンジニア（レッドチーム）,Hybrid,,,
https://job-boards.greenhouse.io/paypay/jobs/5570222004,Cloud Platform Engineer (Kafka Specialist),Hybrid,"At the core of our architecture in PayPay, we use Kafka for high-performance data streaming, and every payment that goes through the app is handled by multiple topics in Kafka. To keep up with the challenges of our growing product and future expansion, we are expanding our Streaming Platform team and are looking for an engineer with deep experience in Kafka to help lead the next stage.
The role involves strengthening our existing platform to bring a truly event-driven architecture to our development process, while adding performance and resilience to the existing application. A key part of our current roadmap includes migrating our self-hosted Kafka clusters to KRaft mode and operating Kafka both in self-managed form and via AWS MSK. We are looking for someone who is not only hands-on with Kafka internals, but also confident operating it at scale in production environments.
This is a senior role but still very hands-on , an excellent opportunity to build and modernize the streaming infrastructure that powers payments for over 70 million users.","Minimum of 2 years of engineering experience with Apache Kafka in production environments Minimum of 2 years of experience in AWS, Terraform, Ansible and Linux Administration Strong hands-on experience with Kafka cluster operations, including setup, tuning, and maintenance Experience with Kafka authentication and authorization operations Familiarity with AWS cloud platform, especially Amazon MSK (Managed Streaming for Kafka) * We heavily rely on AWS, so those without previous AWS experiences must expect to catch up with it after joining us Proficiency in one or more general-purpose programming languages (e.g., Python, Java, Go) Experience with infrastructure automation and configuration management tools, such as Terraform or Ansible Understanding of modern system design using microservice architecture Working knowledge of Git and CI/CD tools Ability to take ownership, solve problems fast and operate proactively",
https://job-boards.greenhouse.io/paypay/jobs/4089265004,Data Engineer (DaaS),Hybrid,"PayPay's rapid growth necessitates the expansion of its product teams and underscores the critical need for a resilient Data Engineering Platform. This platform is vital to support our increasing business demands. The Data Pipeline team is tasked with creating, deploying, and managing this platform, utilizing leading technologies like Databricks, Delta Lake, Spark, Scala, and the AWS suite.
We are actively seeking skilled Data Engineers to join our team and contribute to scaling our platform across the organization.","Minimum 7 years as a Data Engineer or similar role. Hands-on experience with Databricks, Snowflake, Delta Lake, Spark, and Scala. Proven ability to design, build, and operate Data Lakes or Data Warehouses. Proficiency with Data Orchestration tools (Airflow, Dagster, Prefect). Familiarity with Change Data Capture tools (Canal, Debezium, Maxwell). Strong command of at least one primary language (Scala, Python, etc.) and SQL. Experience with data catalog and metadata management (Unity Catalog, Lakeformation). Experience in Infrastructure as Code (IaC) using Terraform. Excellent problem-solving and debugging abilities for complex data challenges. Strong communication and collaboration skills. Capability to make informed decisions, learn quickly, and consider complex technical contexts.",
https://job-boards.greenhouse.io/paypay/jobs/4089251004,Frontend Engineer,Hybrid,"We are looking for a web frontend engineer to join PayPay. You will be building features that change how people in Japan use and manage their finances and business. As a fast-paced company leading the payments industry, we need our engineers to be versatile and enthusiastic to take on new challenges in order to stay at the forefront.",,
https://job-boards.greenhouse.io/paypay/jobs/4888665004,Principal Software Engineer,Hybrid,"We are looking for a Principal Software Engineer to work on our various systems which need high scalability, reliability and availability. These challenges require creative thinking and a deep understanding of how software and platform work.
Our ideal candidate is an ace problem solver and a learner at heart. You should have a very high degree of comfort in a programming language of your choice. We offer a flexible work schedule and you get your choice of tools (both hardware and software) and most importantly, the opportunity to work on tough problems with the brightest minds around you. So, if challenges excite you, and you're ready for a big one, let us know.
Responsibilities:
Design, develop, test, deploy, maintain and improve software and core platform Lead technical aspects for multiple projects through hands-on execution and guidance of other engineers Provide architectural blueprints and technical leadership. Provides input and guidance during all phases of programs to solve challenging technical issues. Build common platforms to support different business vertical application systems Develop tools and contribute to open source wherever possible Adopt problem-solving as a way of life – always go to the root cause!
Experience:
Solid foundation in designing, implementing, and maintaining a large-scale distributed system. Experience in developing distributed platform systems such as Messaging Platforms, Pub/Sub Systems, Databases, Distributed Computing Frameworks, and Schedulers.
Tech Stack:
Our technology stack may vary based on project needs. Currently, we utilize:
Programming Languages: Java, Kotlin, Scala Frameworks and Tools: Spring Boot, JUnit, Resilience4j, Feign Databases: MySQL/AuroraDB, DynamoDB, ELK, Kafka, Redis, TiDB Deployment and Orchestration: Docker, Kubernetes, ArgoCD, AWS, GCP Development Tools: GitHub, IntelliJ, Gradle, Maven, npm/yarn, Flyway, Jenkins Data Analytics: BigQuery, Kibana, Spark Diagramming Tools: PlantUML, draw.io , miro.com Communication: Slack, Zoom
Qualifications:
Degree in Computer Engineering or Computer Science or 7+ years equivalent experience in software development Strong fundamentals in data structure, algorithm, operating system and object-oriented programming Deep understanding of concurrency, distributed computing, large-scale system, messaging and algorithm Software development experience in one or more general-purpose programming languages Interest and ability to learn new technology stacks as needed
Preferred Qualifications:
Experience in working for system development in finance, payment, or similar industries Experience with AWS services Contribute to open-source projects Language ability in Japanese and English is a plus (We have a professional translator but it is nice to have language skills)
Portrait:
Experience: Demonstrated experience designing and implementing large scale, high performance, micro-service based architectures utilizing new concepts and technologies where appropriate. Ownership: A mentoring approach to owning, managing and improving the technical aspects of a large scale system end to end. Communication : The ability to clearly and logically communicate your choice of technology and architectural decision based on its implementation strengths and limitations. Commitment : As a professional, commit to the growth and business goals of the organization and create impactful results by your ownership. Curiosity: Foster a development culture that explores new ideas knowing that we learn even from the ones that fail.",,
https://job-boards.greenhouse.io/paypay/jobs/5700931004,Product Security Engineer (Infrastructure),Hybrid,"The PayPay Product Security team is looking for experienced infrastructure security engineers to lead improvements to our infrastructure and operational security, and introduce key security solutions.
PayPay Product Security team is responsible for driving the application security and infrastructure security changes within the product division - the part of PayPay responsible for development and operations of the PayPay app. A strong candidate for the infrastructure security engineer position will be knowledgeable about modern infrastructure solutions (such as Kubernetes, various public clouds and their services, message brokers and so on), security challenges and threats relevant to them, and have experience in one of the following areas:
Leading projects to improve infrastructure security at scale (e.g. introducing role-based access control, hardening K8s configurations, introducing temporary access credentials for database access, and so on) Introducing and improving security orchestration and automation, as well as solution to gather, store and analyze security events and assets","2+ years of infrastructure security or relevant experience Solid understanding of security principles, protocols, and best practices Solid programming skills in one or more programming languages, such as Java, Python, Golang Experience leading projects in any kind of security solutions, such as CNAPP, PAM, IDS/IPS, SIEM, SOAR, WAF, NGFW, etc Hands-on experience with cloud platforms, preferably AWS Hands-on Terraform experience. Experience with other IAC tools is also acceptable Hands-on experience with CI/CD pipelines and tools like Github Action, Jenkins, ArgoCD, etc Strong teamwork skills and the ability to collaborate with others in a diverse environment Enjoy taking up a challenge and driving it to a conclusion",
